Date,Branch,Platform,Review_Text
2026-03-25 17:58:05.562278,General,YouTube Comment,Kentucky fried chicken 🍗🍗🍗🍗
2026-03-25 17:58:05.562278,General,YouTube Comment,Kenchuki fried chicken
2026-03-25 17:58:05.562278,General,YouTube Comment,ఎస్ i know ఐస్ Kentuky ఫ్రైడ్ chicken🍗🍿🍔
2026-03-25 17:58:05.562278,General,YouTube Comment,Krifcy frid chicken
2026-03-25 17:58:05.562278,General,YouTube Comment,Kentucky fride chicken
2026-03-25 17:58:05.562278,General,YouTube Comment,Kentucky fried chicken 🍗
2026-03-25 17:58:05.562278,General,YouTube Comment,Kullipoyina fried chicken
2026-03-25 17:58:05.562278,General,YouTube Comment,Kantakeki fried Chicken
2026-03-25 17:58:05.562278,General,YouTube Comment,Kentucky fried chicken
2026-03-25 17:58:05.562278,General,YouTube Comment,Kentucky fried chicken 🍗🍔🍟🍕
2026-03-25 17:58:05.562278,General,YouTube Comment,Kentakan fried chicken 🍗 maya
2026-03-25 17:58:05.562278,General,YouTube Comment,King fried Chicken
2026-03-25 17:58:06.895129,General,YouTube Comment,Fshdjxhdghzggydgdydydggzfhchfzgffzhsggshdttdggfdggg te de f gshsbeh hehtrhgtjyyhr dhyan face dffrfff 🎉😂❤❤😢😊xhfdyxvharbrthyrh
2026-03-25 17:58:06.895129,General,YouTube Comment,"New KFC meal. 
KRISPER CHICKEN. BURGER 
REG FRENCH FRIES 
REG COKE. 

₹99. ONLY 🤑🤑🤑"
2026-03-25 17:58:07.711890,General,YouTube Comment,Same Wednesday meal offer  630
2026-03-25 17:58:07.917393,General,YouTube Comment,"Sarada sarada ke kg chicken tinna, was personal😅"
2026-03-25 17:58:07.917393,General,YouTube Comment,I love chicken ❤
2026-03-25 17:58:07.917393,General,YouTube Comment,"Akka chicken ni prename gani,,,eppudu aa chicken ne ni prenam thistundhi,,,Jara,chusukoni,,,,thinu"
2026-03-25 17:58:07.917393,General,YouTube Comment,Akka miru enni sarulu thinnaru kfc chicken akka chappandi
2026-03-25 17:58:07.917393,General,YouTube Comment,I love chicken so much
2026-03-25 17:58:08.117952,General,YouTube Comment,Bro one time you should try kfc chicken nuggets please please please😊😊😊🤤🤤🤤
2026-03-25 17:58:08.117952,General,YouTube Comment,Basha chicken pakoda
2026-03-25 17:58:08.117952,General,YouTube Comment,My favourite food 🥰🥰🥰🤤🤤🤤🤤🤤😋😋😋😋😋😛😛😛😜😜😜😜🤪🤪🤪🤪🥴🥴🥴🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤
2026-03-25 17:58:08.117952,General,YouTube Comment,Zinger burger ante nak pichiii🎉
2026-03-25 17:58:08.117952,General,YouTube Comment,Zinger burger baaga istam bro and wings
2026-03-25 17:58:08.117952,General,YouTube Comment,Ee location kfc lo fresh undavu.. multiple times same bad experience
2026-03-25 17:58:08.328078,General,YouTube Comment,Bro but chizza doesn't means it will have more cheese it means chicken used at place of the base of a pizza with the same toppings
2026-03-25 17:58:08.328078,General,YouTube Comment,Is very tasty very crispy
2026-03-25 17:58:08.328078,General,YouTube Comment,"""Yakrit Plihantak Churna by Planet Ayurveda se liver ke toxins easily flush hote hain. Junk food ke baad bhi body light aur healthy feel karti hai. Amazing results!"""
2026-03-25 17:58:08.629584,General,YouTube Comment,Bro it’s Boring kocham new try cheydhandhi mana Indian food explore cheyandhi with ur mama
2026-03-25 17:58:08.629584,General,YouTube Comment,kappalu pamulu time vallaki chicken em pothadi mama..💀
2026-03-25 17:58:08.629584,General,YouTube Comment,"Kfc emaina Indian food ha
Evadra meku cheppindi"
2026-03-25 17:58:08.629584,General,YouTube Comment,😂😂asalu Indian food exploring ani cheppi evarini mosam chedam anukuntunav broo.KFC Indian food ante😂😂😂
2026-03-25 17:58:08.629584,General,YouTube Comment,Bro KFC Indian food aaa bro logic😅😅😅😅😅😊
2026-03-25 17:58:08.629584,General,YouTube Comment,Chizza and chicken roll try chesi review ivvandi
